gsm,kind,srx,gse,runs,fastq_bytes,fastq_ftp_by_run
GSM2845525,rna-seq,SRX2630829,GSE106697,SRR6930637,1423438245,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/007/SRR6930637/SRR6930637.fastq.gz
GSM2845527,ribo-seq,SRX2630827,GSE106697,SRR6930636,1378511622,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/006/SRR6930636/SRR6930636.fastq.gz
GSM2845531,rna-seq,SRX2630823,GSE106697,SRR6930634,1878003958,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/004/SRR6930634/SRR6930634.fastq.gz
GSM2845533,ribo-seq,SRX2630821,GSE106697,SRR6930633,846466396,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/003/SRR6930633/SRR6930633.fastq.gz
GSM2845541,rna-seq,SRX2630813,GSE106697,SRR6930631,931436163,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/001/SRR6930631/SRR6930631.fastq.gz
GSM2845542,ribo-seq,SRX2630812,GSE106697,SRR5331984,1165188154,ftp.sra.ebi.ac.uk/vol1/fastq/SRR533/004/SRR5331984/SRR5331984.fastq.gz
GSM2845543,rna-seq,SRX2630811,GSE106697,SRR6930630,826910126,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/000/SRR6930630/SRR6930630.fastq.gz
GSM2845545,ribo-seq,SRX2630809,GSE106697,SRR6930629,2138733249,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/009/SRR6930629/SRR6930629.fastq.gz
GSM2845547,rna-seq,SRX2630807,GSE106697,SRR6930628,715810650,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/008/SRR6930628/SRR6930628.fastq.gz
GSM2845549,ribo-seq,SRX2630805,GSE106697,SRR6930627,2202624461,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/007/SRR6930627/SRR6930627.fastq.gz
GSM2845551,rna-seq,SRX2630803,GSE106697,SRR6930626,600356464,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/006/SRR6930626/SRR6930626.fastq.gz
GSM2845553,ribo-seq,SRX2630801,GSE106697,SRR6930625,2504829154,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/005/SRR6930625/SRR6930625.fastq.gz
GSM2845555,rna-seq,SRX2630799,GSE106697,SRR6930624,589146012,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/004/SRR6930624/SRR6930624.fastq.gz
GSM2845557,ribo-seq,SRX2630797,GSE106697,SRR5331969,1572151688,ftp.sra.ebi.ac.uk/vol1/fastq/SRR533/009/SRR5331969/SRR5331969.fastq.gz
GSM2845558,rna-seq,SRX2630796,GSE106697,SRR6930623,725002162,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/003/SRR6930623/SRR6930623.fastq.gz
GSM2845560,ribo-seq,SRX2630794,GSE106697,SRR6930622,2116648036,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/002/SRR6930622/SRR6930622.fastq.gz
GSM2845562,rna-seq,SRX2630792,GSE106697,SRR6930621,678830722,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/001/SRR6930621/SRR6930621.fastq.gz
GSM2845564,ribo-seq,SRX2630790,GSE106697,SRR6930620,1608164637,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/000/SRR6930620/SRR6930620.fastq.gz
GSM2845566,rna-seq,SRX2630788,GSE106697,SRR6930619,681992620,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/009/SRR6930619/SRR6930619.fastq.gz
GSM2845568,ribo-seq,SRX2630786,GSE106697,SRR6930618,2010670323,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/008/SRR6930618/SRR6930618.fastq.gz
GSM2845570,rna-seq,SRX2630784,GSE106697,SRR6930617,777380079,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/007/SRR6930617/SRR6930617.fastq.gz
GSM2845572,ribo-seq,SRX2630782,GSE106697,SRR6930616,1767644644,ftp.sra.ebi.ac.uk/vol1/fastq/SRR693/006/SRR6930616/SRR6930616.fastq.gz
GSM5070732,ribo-seq,SRX10056599,GSE166408,SRR13664942,297035238,ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/042/SRR13664942/SRR13664942.fastq.gz
GSM5070733,ribo-seq,SRX10056600,GSE166408,SRR13664943,380880400,ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/043/SRR13664943/SRR13664943.fastq.gz
GSM5070734,ribo-seq,SRX10056601,GSE166408,SRR13664944,505972901,ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/044/SRR13664944/SRR13664944.fastq.gz
GSM5070735,ribo-seq,SRX10056602,GSE166408,SRR13664945,307376875,ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/045/SRR13664945/SRR13664945.fastq.gz
